,Raw_GS,Feature_eng_GS,Feature_engg + Corr_GS,Engg+corr+VIF_GS,PCA_raw_GS,PCA_e+c+v_GS,RFE_e_GS,RFECV_e_GS,KBest_e_GS
Model,"['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']"
Accuracy,"[0.9375, 0.9875, 0.87, 0.9825, 0.97, 0.925, 0.89, 0.905, 0.8575, 0.8175, 0.5925]","[0.425, 0.7825, 0.89, 0.9725, 0.98, 0.935, 0.8675, 0.8925, 0.865, 0.76, 0.53]","[0.435, 0.775, 0.895, 0.9775, 0.98, 0.9275, 0.905, 0.8925, 0.875, 0.7675, 0.53]","[0.785, 0.8925, 0.87, 0.885, 0.825, 0.8925, 0.875, 0.8925, 0.825, 0.775, 0.555]","[0.9475, 0.96, 0.885, 0.9625, 0.9675, 0.935, 0.9275, 0.925, 0.845, 0.8025, 0.5125]","[0.7625, 0.8875, 0.76, 0.875, 0.8325, 0.845, 0.845, 0.8225, 0.8, 0.7275, 0.6625]","[0.63, 0.785, 0.8725, 0.9725, 0.97, 0.935, 0.9275, 0.9125, 0.84, 0.7975, 0.605]","[0.63, 0.785, 0.895, 0.9725, 0.97, 0.9325, 0.9125, 0.9175, 0.8375, 0.7975, 0.605]","[0.6525, 0.75, 0.87, 0.965, 0.9625, 0.93, 0.92, 0.905, 0.8625, 0.7725, 0.5425]"
f1_micro,"[0.9375, 0.9875, 0.87, 0.9825, 0.97, 0.925, 0.89, 0.905, 0.8575, 0.8175, 0.5925]","[0.425, 0.7825, 0.89, 0.9725, 0.98, 0.935, 0.8675, 0.8925, 0.865, 0.76, 0.53]","[0.435, 0.775, 0.895, 0.9775, 0.98, 0.9275, 0.905, 0.8925, 0.875, 0.7675, 0.53]","[0.785, 0.8925, 0.87, 0.885, 0.825, 0.8925, 0.875, 0.8925, 0.825, 0.775, 0.555]","[0.9475, 0.96, 0.885, 0.9625000000000001, 0.9675, 0.935, 0.9275, 0.925, 0.845, 0.8025, 0.5125]","[0.7625, 0.8875, 0.76, 0.875, 0.8325, 0.845, 0.845, 0.8225, 0.8000000000000002, 0.7275000000000001, 0.6625]","[0.63, 0.785, 0.8725, 0.9725, 0.97, 0.935, 0.9275, 0.9125, 0.8399999999999999, 0.7975, 0.605]","[0.63, 0.785, 0.895, 0.9725, 0.97, 0.9325, 0.9125, 0.9175, 0.8375, 0.7975, 0.605]","[0.6525, 0.75, 0.87, 0.965, 0.9625000000000001, 0.93, 0.92, 0.905, 0.8625, 0.7725000000000001, 0.5425]"
f1_macro,"[0.9368485378224347, 0.9873720925474728, 0.8680448561052503, 0.9821510647021711, 0.9694598276120014, 0.924028976785934, 0.8883164181965066, 0.9039816944976726, 0.852435492699928, 0.8132224191195638, 0.5948275325639553]","[0.4271099429889122, 0.7797464081634431, 0.8894783779848574, 0.9721619931036947, 0.9794872699764003, 0.9343162968752229, 0.8666906132604771, 0.8918259006973079, 0.8601196253651382, 0.7569077149235504, 0.5287092449846489]","[0.43797780568361366, 0.7728893797308118, 0.8938768189906933, 0.9773410001900126, 0.9796770360068462, 0.9267329910141207, 0.9041309000938942, 0.8913456271526922, 0.8708311895992644, 0.7657286923222578, 0.5308374108254201]","[0.7831782626925389, 0.8901765990060725, 0.8660487598079234, 0.8829168928018654, 0.8226366722940109, 0.890364024639952, 0.8732924467180601, 0.8904468802069141, 0.8180307045438484, 0.7713958388630603, 0.5500977299518538]","[0.9468071414432556, 0.9596380409388403, 0.8836164403359089, 0.9623169642236601, 0.9673266149107246, 0.9343483378713761, 0.9271150747050182, 0.9242384308232567, 0.836512494905248, 0.7981005688782955, 0.5005263933892499]","[0.759968698886696, 0.8850129825470513, 0.7543635672941968, 0.8726719873106863, 0.8318853936748537, 0.8420254841769376, 0.841443111066055, 0.8203244764697226, 0.7935766129231929, 0.72569488798997, 0.6636283981882111]","[0.6306349691183398, 0.7806753348135324, 0.8711779016445526, 0.97216685961358, 0.9695807076059786, 0.9346595604500597, 0.9273429122475967, 0.9120262522147304, 0.8346466929577219, 0.7948106548377099, 0.6005383010380764]","[0.6306349691183398, 0.7806753348135324, 0.8939730203470168, 0.97216685961358, 0.9695807076059786, 0.9316542709037638, 0.9121740581335064, 0.9170082991753399, 0.831143119092087, 0.7948106548377099, 0.6005383010380764]","[0.6505113577068912, 0.7481456665691544, 0.8681166726210946, 0.9646493494251895, 0.9620989670074428, 0.9293049501846244, 0.9194918504817737, 0.9044888283849236, 0.8586580531801431, 0.7706353194256473, 0.5464203961806252]"
