,Raw,Feature_eng,Feature_engg + Corr,Engg+corr+VIF,PCA_raw,PCA_e+c+v,RFE_e,RFECV_e,KBest_e
Model,"['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'DecisionTreeClassifier', 'SVC', 'NuSVC', 'RandomForestClassifier', 'AdaBoostClassifier', 'GradientBoostingClassifier', 'SGDClassifier', 'GaussianNB', 'MultinomialNB']"
Accuracy,"[0.9225, 0.6675, 0.86, 0.89, 0.88, 0.8875, 0.53, 0.905, 0.7675, 0.8175, 0.5825]","[0.2875, 0.5525, 0.8825, 0.865, 0.87, 0.8925, 0.5625, 0.92, 0.7575, 0.76, 0.53]","[0.29, 0.5475, 0.89, 0.885, 0.885, 0.895, 0.6825, 0.9075, 0.7975, 0.7675, 0.53]","[0.7, 0.8925, 0.85, 0.8675, 0.865, 0.87, 0.7075, 0.88, 0.775, 0.775, 0.5575]","[0.925, 0.9575, 0.8875, 0.9425, 0.9175, 0.9325, 0.7325, 0.9125, 0.7525, 0.8025, 0.4975]","[0.7075, 0.885, 0.765, 0.8625, 0.8675, 0.8375, 0.69, 0.8225, 0.7525, 0.7275, 0.62]","[0.32, 0.5725, 0.8825, 0.915, 0.905, 0.9175, 0.71, 0.92, 0.76, 0.7975, 0.5775]","[0.32, 0.5725, 0.885, 0.915, 0.905, 0.925, 0.71, 0.92, 0.725, 0.7975, 0.5775]","[0.325, 0.55, 0.895, 0.925, 0.91, 0.9225, 0.64, 0.9125, 0.82, 0.7725, 0.5425]"
f1_micro,"[0.9225, 0.6675, 0.8599999999999999, 0.89, 0.88, 0.8875, 0.53, 0.905, 0.7675, 0.8175, 0.5825]","[0.2875, 0.5525, 0.8825, 0.865, 0.87, 0.8925, 0.5625, 0.92, 0.7575, 0.76, 0.53]","[0.29, 0.5475, 0.89, 0.885, 0.885, 0.895, 0.6825, 0.9075, 0.7975, 0.7675, 0.53]","[0.7, 0.8925, 0.85, 0.8675, 0.865, 0.87, 0.7075, 0.88, 0.775, 0.775, 0.5575]","[0.925, 0.9575, 0.8875, 0.9425, 0.9175, 0.9325, 0.7325, 0.9125, 0.7525, 0.8025, 0.4975]","[0.7075, 0.885, 0.765, 0.8625, 0.8675, 0.8375, 0.69, 0.8225, 0.7525, 0.7275000000000001, 0.62]","[0.32, 0.5725, 0.8825, 0.915, 0.905, 0.9175, 0.7100000000000001, 0.92, 0.76, 0.7975, 0.5775]","[0.32, 0.5725, 0.885, 0.915, 0.905, 0.925, 0.7100000000000001, 0.92, 0.7250000000000001, 0.7975, 0.5775]","[0.325, 0.55, 0.895, 0.925, 0.91, 0.9225, 0.64, 0.9125, 0.82, 0.7725000000000001, 0.5425]"
f1_macro,"[0.9217101738944875, 0.6627662667345954, 0.8586457747583064, 0.889391264043136, 0.8795577618091183, 0.8852446111043455, 0.48816683362336266, 0.903382884520992, 0.7571256125277023, 0.8132224191195638, 0.5895767215645897]","[0.2805196919835957, 0.5484339248081391, 0.8819103483526695, 0.8641961581576344, 0.8688587652057137, 0.8905197041575581, 0.5397441201012629, 0.918421669793621, 0.7418898191589824, 0.7569077149235504, 0.5287092449846489]","[0.2830644429295384, 0.5258081814463152, 0.8888631084139069, 0.8844488551022285, 0.8847498723983442, 0.8950215610090685, 0.6801410031813009, 0.9060065386284899, 0.7913597001865367, 0.7657286923222578, 0.5304784222312946]","[0.6991086362834908, 0.8904426843749013, 0.8488680487559156, 0.8666272431508613, 0.8641538597420951, 0.8681723383247034, 0.7091731644001464, 0.876743471115867, 0.7626890478815415, 0.7713958388630603, 0.5521287461996717]","[0.9241093883766298, 0.9568727204930577, 0.8863892291805037, 0.9419792923195283, 0.9173666418648615, 0.9317366978652821, 0.7352442317155665, 0.912070231999238, 0.7308040676594771, 0.7981005688782955, 0.4947413834925033]","[0.7088091890145637, 0.8826887425753137, 0.7596229028983368, 0.8611750437856541, 0.866354504816932, 0.8340441396618108, 0.6962805994413592, 0.8216652836351374, 0.7335484712460217, 0.72569488798997, 0.6264815466760547]","[0.3121096706997252, 0.5620867925301847, 0.8818346418215459, 0.9140845833405442, 0.9038185963279763, 0.9172516071894364, 0.7105459372562203, 0.9191321088845714, 0.7504984094969706, 0.7948106548377099, 0.5810580106268806]","[0.3121096706997252, 0.5620867925301847, 0.8845034409492807, 0.9140845833405442, 0.9038185963279763, 0.9245432670202005, 0.7105459372562203, 0.9191321088845714, 0.7178663037298492, 0.7948106548377099, 0.5810580106268806]","[0.3161268133689996, 0.5435508851925028, 0.894407371169556, 0.9240921673906398, 0.9089074903150585, 0.9219387282165369, 0.6280223950714877, 0.9111680812012064, 0.8087181733015066, 0.7706353194256473, 0.5464203961806252]"
