,Raw,Added_features,Feature_engg + Corr,Engg+corr+VIF,PCA_raw,PCA_e+c+v,RFE_e,RFECV_e,KBest_e
Model,"['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']","['KNeighborsClassifier', 'LogisticRegression', 'GaussianNB', 'MultinomialNB']"
Accuracy,"[0.9225, 0.6675, 0.8175, 0.5825]","[0.2875, 0.5525, 0.76, 0.53]","[0.29, 0.5475, 0.7675, 0.53]","[0.7, 0.8925, 0.775, 0.5575]","[0.925, 0.96, 0.8025, 0.4975]","[0.7075, 0.885, 0.7275, 0.62]","[0.32, 0.5725, 0.7975, 0.5775]","[0.32, 0.5725, 0.7975, 0.5775]","[0.325, 0.55, 0.7725, 0.5425]"
f1_micro,"[0.9225, 0.6675, 0.8175, 0.5825]","[0.2875, 0.5525, 0.76, 0.53]","[0.29, 0.5475, 0.7675, 0.53]","[0.7, 0.8925, 0.775, 0.5575]","[0.925, 0.96, 0.8025, 0.4975]","[0.7075, 0.885, 0.7275000000000001, 0.62]","[0.32, 0.5725, 0.7975, 0.5775]","[0.32, 0.5725, 0.7975, 0.5775]","[0.325, 0.55, 0.7725000000000001, 0.5425]"
f1_macro,"[0.9217101738944875, 0.6627662667345954, 0.8132224191195638, 0.5895767215645897]","[0.2805196919835957, 0.5484339248081391, 0.7569077149235504, 0.5287092449846489]","[0.2830644429295384, 0.5258081814463152, 0.7657286923222578, 0.5304784222312946]","[0.6991086362834908, 0.8904426843749013, 0.7713958388630603, 0.5521287461996717]","[0.9241093883766298, 0.9594690367963824, 0.7981005688782955, 0.4947413834925033]","[0.7088091890145637, 0.8826887425753137, 0.72569488798997, 0.6264815466760547]","[0.3121096706997252, 0.5620867925301847, 0.7948106548377099, 0.5810580106268806]","[0.3121096706997252, 0.5620867925301847, 0.7948106548377099, 0.5810580106268806]","[0.3161268133689996, 0.5435508851925028, 0.7706353194256473, 0.5464203961806252]"
